label,new_tweet_text
2,biden administration finalize deal 200 million vaccine dose pfizer moderna co kqxo70kovz
1,russian woman mrna sputnikv sick terrified co a7fua0u41u
2,moderna launch clinical trial test new vaccine design combat covid 19 variant co apayipl6po covidvaccine moderna staysafe
1,yesterday decide test antibody do not look like vax either do not work do nt last test result today 13 9 anything 15 positive also 3rd shot offer oh well sinopharm co l6cgjdmtmb
1,pfizerbiontech vaccine leaky stop transmission vaccinated people might shed virus result could variant covid 19 spread result lack natural immunity lockdown co hrq3rjxsqw
2,sleep pretty much two day covidvaccine think i d sync body clock staying night 4 hour zacksnydersjusticeleague see trailer riverhunter I ve watch entire first series oxfordastrazeneca
2,paulie paulie british jab british people oxfordastrazeneca okay make belgium say oxford title dammit
1,get secondvaccination yesterday amp feel awful vaccinated covidvaccine moderna co vvsfmuxwih
2,pregnant person get moderna covidvaccine today anyone know official study enter covid19 covid coronavirus coronavaccine moderna tx
3,get moderna vax today worried side effect excite part stop damn spread covid 19 january recommend
3,moderna say new datum show covid vaccine 90 effective virus six month second shot co whtvs8gqlh
2,covaxin pm co c0al5t38p3 co ztyjkstsur
2,ammu maanu poopoonga mistaken phase 3 datum covaxin public co qnalpvjdux
3,hongkong fast track china sinovac vaccine approval co qkyjvinnc pandemic
2,ndtv despite high recovery rate rest world vaccine covishield covaxin invent administerd war foot much fanfare situation still alarm mean vaccine efficacious contain coronavirus drama pacify outcry
2,sputnikv lockdown aespa cancelboardexam2021 cryptocurrency dogecoin ethereum elonmusk eurovision enhypen fearlesstaylorsversion grandnational heysayjump houseoffamegr jasminbhasin kkrvssrh horoscope english co pvp5nyxke5 co fvg1huzdtb co 5cpurg495v
2,2nd moderna shoot yesterday today anticipation possible negative side effect decide send k daycare good idea dh make feel guilty sending do not know mean ugh I m go back bed
2,approve sputnikv third covid 19 vaccine available india co x9idmnyftc
2,addition darpa fund moderna u defense advanced research project agency focus ai technology national security u military fund experimental injection million human co kyk9sgtee6
2,bahrain ministry health receive 300 000 dose chinese covid 19 sinopharm vaccine
2,coronavirus case surpass 138 2 mn globally we tally top 31 4 mn drtedros potus un antonioguterres coronaviruspandemic covid19 us brazil turkey mexico sputnikv read co wssvjdljed co o4imlm4sxg
2,post weekly covid swab vaccine trial beautiful afternoon sunshine blossom beautifulday oxfordastrazeneca vaccine trial astrazenecavaccine vaccinetrial co xsuhydx3iv
2,dare begin feel bit relief presbiden covid19 vaccine moderna pfizer co wmqc9c9neg
2,v day today flat eric get covid19 vaccine today vaccination coronavirus pfizerbiontech modernavaccine stayhome staysafestayhealthy anderhalvemetersamenleving vday sideeffect pain photooftheday healtcare diederikgommer ikdoemee photoblogger health co v0kjq7ec0u
2,jakarta 13 4 siti nadia tarmizi spokesperson indonesias covid 19 vaccine programme say find chinese vaccine meet requirement 50 effective noted clinical trial sinovac indonesia show 65 effective
3,speakupforvaccinesforall people want covaxin demand amitshah modi rally coronavirus covid19
3,indias indigenously develop covaxin jab 78 effective covid 19 trial maker bharat biotech say co qlygx8f6hf
3,get ready roll sleeve dose 2 pfizerbiontech covidvaccine grhospitalkw monday feel grateful rescheduled appt delay day proudtoworkat schlegelvillage co su5wlgxxmh
2,stalinsachin adeshbakth every time read story tempt ask vote kisko diya tha know mean okay mean newindia pertinent question imo covid covid19 covaxin
2,esadegeo daily digest javiersolana blog sarkozy sentence 3 year prison slovakia buy 2 million sputnikv dose potus amlo meet migration india pakistan ceasefire co kzxzjqrzl6 co ukrqasncfv
2,remdesivir arrange bjp govt co jnjylixp75 get news feature use indiapostusa anthonyfauci coronapatient coronavaccinenew coronavaccineupdate covaxiupdate covaxin covid19lockdown drharshvardhan fadnavis health healthcare
3,1st shot do cichealth gillettestadium cichealth covidvacccine thisisourshot moderna co ylz2rsf7n6
1,pfizer moderna coronavaccine vaccination get cancer co e5ctclsumu
2,toryboypierce pfizer actually french do acknowledge vaccine would not ready end 2021 turn facility production pfizerbiontech vaccine
3,shoot 1 thank kaiserpermanente moderna dollyparton co ebl6srwkk1
3,vaccinated morning moscow sputnikv vaccination covid19 online registration next day queue organize process do 15 mn everything free happy russia sputnikv russia atsal2021 co rvvyfkpi0h
2,often mentionene western swiss medium sputnikv use russian propaganda like srf app never call pfizerbiontech moderna american propaganda astrazeneca british one vaccine co orykvbpgv0
2,despite india brink severe second wave even consider covidvaccine none trustworthy yet would definitely take one genuine chinavirus chinesevirus chinesebioterrorism ccpvirus covaxin covidshield
2,bet scientist create vaccine male forget almost woman breast armpit lymph node ovary uterus birth control period single thought woman pathetic wake gentleman johnsonandjohnson pfizer moderna
3,let see mutant power get vaccine moderna cvs thank save future life may become safe smart healthier well human getvaccinate co um4lh3j9wu
2,first dose moderna covid vaccine do feel fine far moderna covidvaccine covid
2,pm narendramodi take second dose covaxin aiim morning take first shot 1st march co r03pio2cki
2,go moderna 2 today covid19vaccine fastenseatbelt raiseseatstouprightposition storetraytable
3,huffpostukpol sputnikv 92 successrate pfizer 0 death
2,sundayvibe eat alone doug ford trudeau toronto ontario canada force stay home lockdown family business church hope life mentalhealthmatter order russia sputnikv get syria covid19 spring co no2p2ccc5 m
3,48 hour moderna dose 1 I m feel great almost arm soreness regain taste energy feather grow nice addition I m kid anyone question dms open please get shoot soon possible co fr5jft13hc
1,second dose moderna kicking ass arm hurt like hell fever sweat headache teeth pain nausea fun covid19vaccination
3,1st round covid19vaccine do thank volunteer health personnel course pfizerbiontech co 71onhngeea
3,covid19 vaccine develop china sinopharm approve emergency use maldive maldive food drug administration mfda announce monday afternoon co 0otzf3p1yp
3,first covid19 vaccine do sore hopeful summer fellowship family hug moderna
2,pakistan may give third dose sinopharm coronavirus vaccine elderly later fslsltn third dose sinopharm coronavirus vaccine may administer elderly uae start give third shot doctor say two dose produce low immunity co 3mooz65pil
2,one ex classmate share side effect experience 26 jan 1st jab pfizerbiontech 25th also correspond amp learnt healthcare worker feel soreness arm amp pain get severe night covidvaccine co 11b1aaqpf4
3,ready covid19 sinovac strawberrynail co j7kyfbbiuq
3,vaccinate one step close herd immunity perfect organization vaccination center friendly reception lot space clear separation visitor thankyou grateful vaccinated brussels moderna getvaccinate co dacvl1mbpk
2,rshivshankar along covaxin let give try age old ayurvedic miracle drug honey well
2,bharatbiotech ramp manufacturing capacity covid19 vaccine covaxin 700 million dose per annum india coronavirus covidvaccine theweek theweeklive co bdcqimhkpz
2,receive 2nd dose moderna armissore celebrate e 18 year dad 88 year tonight watch big 12 tournament three month journeyat55
2,vp chiwenga get covid19 jab sinopharm opencovidcontract watch openparlyzw facebook co asiumgq1ig co gzc6dpydau
3,johntory embarrass moscow russia everything open business usual ontario report 4447 case covid19 1299 new case toronto lockdown close business church family hope mentalhealth canada get syria sputnikv 91 6 effective jesus co 6nixzmtbns
2,covid 19 putnamcounty announce special moderna covid19 vaccination clinic hold garrison week eligible receive vaccine dailyvoice co 3ep16qeqmn
2,moderna hope covidbooster vaccine ready fall ceo say cnbc vaccines covid19 pandemic co mlidj0na6a
2,consignment 200 000 dose covaxin land island nation mauritius unify attempt free world covid 19 go strong bharatbiotech covaxin vaccinemaitri covaxinvaccine premiabiotech covishield premiamed premiaholding co oagbczosu1
3,accept price life loyal self impose rule eu 1000 dead 10 000 death government eu loyal eu people solution simple use sputnik v save life sputnikv
3,bharatbiotech covaxin 81 pc efficient phase 3 trial co nire4iihot
2,public healthis contributory service get first dose covaxin covid19vaccine scheme govt india thankful staff kims pbmh grandson dransumankar make smooth effortless arrangement narendramodi naveen odisha achyuta samanta co ts2jinjg7i
1,drmadej lethal injection pfizerbiontech pfizercovidvaccine potassiumchloride lethalinjection co gixfeymqxu
2,mostly sinovac inactivated covidvaccine alum adjuvant original strain good luck rely get crisis
3,uae administer 7 2 m total dose total 80 chinese sinopharm vaccine administer 86 efficiency rate side effect report prime minister imran khan 1st jab od sinoparhm also co yvbrnv4lpr co an73t4kmii
2,good news ahead oxfordastrazeneca vaccine coronavirus co yiqvc6xcu4
3,trust moderna everyone co 8q2gkzhhee
2,sri lanka look clear outstanding issue manufacturer china sinopharm vaccine stock arrive next week government say today read full story co kelqvzqtky via colombogazette srilanka lka sinopharm vaccine
2,abundance caution appear covid19 phrase replace try challenge difficult stressful time pandemic coronavirus vaccine pfizer moderna johnsonandjohnson astrazeneca co ddw7zd379p
3,vaccine vaccine vaccine vaccineeeeee thank one amp dollyparton huge contributor moderna vaccine keep we safe year love dolly repost dollyparton co h3q3pj7zig
2,globaltimesnew keep spread ccp propaganda china medium zero trusty worth well challenge every single lie freetibet freehk xijinping chinesevirus holdchinaaccountable boycottsinovac boycottsinopharm covaxin covishield chinaliedpeopledie vaccinemaitri vaccinediplomacy co xtywocubgw
2,dr fauci choose pfizer moderna johnson amp johnson j amp j vaccines colbert fauci vaccine co uvzr6fjluh
2,get 2nd moderna shoot last week like co 9adbaabr5p
3,get vaccine thank science everyone hand moderna vaccinate moderna tx
2,sister p niveda feel like film celebrity administer vaccine pm jab meet covaxin lamejoke
2,co zavpyyhuic first death case hong kong chinese make covid19 vaccine hk hongkong sinovac sinovacbiotech chinesevirus wuhanvirus chinamade chinaliedpeopledie covid19 vaccine chinavirusmadeinchina coronavirus
3,barely keep cool head morning ocgn see 9 ticker keep cool stayed calm 28 240 late covaxin got approve we adopt get vaccine fast stock limit clsn could see similar movement
1,order help hongkong govt advertise china make coronavirus vaccine sinovac group frontline medical worker take shot one nurse develop severe reaction include serious headache muscle joint pain could barely walk co h27vn3m278 co 09benh7uki
2,algeria launch production russia sputnikv covid 19 vaccine 6 month co pgqen61d0y via nairobi star
3,pragyalive power covishield covaxin samachar bharat co 64cqxplirn
2,symptom update head feel bit arm feel heavy ache yet 19 00 oxfordastrazeneca vaccine
3,moderna say new datum show covid vaccine 90 effective virus six month second shot co komyobenm4
2,covaxin demonstrate overall clinical efficacy 78 efficacy 100 severe covid 19 disease phase 3 efficacy analysis vaccineefficacy covaxin bharatbiotech co 2latxzml0k
2,prepare moderna reaction 36 hour injection great prepare theview co ghm658wxuo
2,astrazeneca plc sell 7 7 stake american pharmaceutical biotechnology company moderna inc 1 billion share soar back coronavirus vaccine breakthrough co 75vhh9zz04
3,anupsoan sputnikv get clearance today think available vaccination drreddys
3,vaccinatevirginia 1st dose moderna do covid19 covidvaccine thank loudounfire shoot arm loudouncogovt co wgwvkwwqkl
3,cpho canada embarrass moscow russia everything open business usual ontario canada report 3295 case covid19 933 new case toronto lockdown close business church family hope mentalhealth canada get syria sputnikv 91 6 effective co 6aepcvbmhl
3,montenegro saint vincent grenadines join sputnik v include 26 country place sputnik v among top 3 covid 19 vaccine authorization give globally sputnikv globally recognize one good vaccine covid 19 co qu5y7kaqao
2,bharat biotech vindication hearten covaxin bharatbiotech
2,johntory epdevilla chiefpeggtfs canada politicize covid19 laboratorio richmond launch production sputnikv argentina first country latin america manufacture sputnik v ontario produce russia vaccination lockdown cdnpoli healthcare snow co fxpikzgaga
2,side effect far 6 hour sore arm slight headache moodiness oh woopsie think moody part lady problem side effect vaccination moderna womenproblem
2,10 hour moderna shoot experience pleasant sense physical relaxation like cannabis body high may psychosomatic quite tasty co oqd9fwtaua
2,vaccination drive open covid19 covidvaccine covid19vaccination covaxin
2,chennaicorp know center provide covaxin chennai
2,iran set receive covaxin covid19 vaccine today co yoemuszcb4
3,fantastic explanation oxfordastrazeneca vaccine cause clot teamhalo co a9jxxi3vdb
3,people think side effect moderna vaccine bad important get covid19 picture get vaccinated turn
2,confirm 2nd moderna shoot leave arm much sorer 1st possible vaccine reaction indistinguishable 58yo woman moderna covidvaccine thankyouscience co yhgauzaj7q
2,ndtv vaccine corona spread vaccine modi ji take fake make we fool covaxin covidvaccine vaccine coronavirus covid 19 coronavirusupdate staysafe
2,somewhere someone going to name baby moderna be not
3,chuckgrassley agree charles something bold normalize relation w russia release economic sanction establish bilateral cooperation two super power stop covid19 sputnikv work fear amp destroy covid19 iowa 7th gen afraid
1,health worker alaska severe reaction pfizer vaccine coronavirusde uklockdown pfizervaccine coronavirusvaccine covidvaccine pfizer biontech pfizerbiontech co 3it1xocz8s
3,hello dear fintwit family get covid19 vaccine first dose today moderna invest mrna
3,amid te ongoing third wave covid 19 pandemic drug regulatory authority pakistan drap approve china sinovac vaccine virus emergency use pakistan coronavirusvaccine vaccine co dzspphze8n
2,covid 19 shot 2 book moderna vaccine
2,escape covid death trap coronavirus covid19 mohfw india virus world pandemic covid covid remdesivir lockdown maharashtra mumbai economy vaccination sputnikv speakupforvaccinesforall coronavaccine covidsecondwave coronavirusindia co kk8zqaezlt
2,flu like symptom sore arm fun moderna
3,get vaccine vaccination covaxin thank make happen modihaitomumkinhai co cjf1ttaete
2,pfizer moderna vaccine effective covid 19 variant include south african strain co gax66is3ve vaccine covid19 coronavirus
1,williamsruto import million astrazeneca vaccine million hustler assure 1st 2nd dose one sputnikv braggadocio class status hustler leave die number astrazeneca killer co xmpavrpqkr
2,I ve wait side effect seconddose moderna kick I m long wait feel like got hit train
2,shehzad89 vaccine free india govt hospital cap maximum inr 250 private hospital vaccine covishield amp covaxin sputnik yet approve get approval shortly go get manufacture locally 5 pharma firm
